,Province/State,Country_Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,Mainland China,1/31/2020 23:59,5806,204.0,141.0
1,Zhejiang,Mainland China,1/31/2020 23:59,538,0.0,14.0
2,Guangdong,Mainland China,1/31/2020 23:59,436,0.0,11.0
3,Henan,Mainland China,1/31/2020 23:59,352,2.0,3.0
4,Hunan,Mainland China,1/31/2020 23:59,332,0.0,2.0
5,Jiangxi,Mainland China,1/31/2020 23:59,240,0.0,7.0
6,Anhui,Mainland China,1/31/2020 23:59,237,0.0,3.0
7,Chongqing,Mainland China,1/31/2020 23:59,211,0.0,1.0
8,Shandong,Mainland China,1/31/2020 23:59,184,0.0,2.0
9,Sichuan,Mainland China,1/31/2020 23:59,177,1.0,1.0
10,Jiangsu,Mainland China,1/31/2020 23:59,168,0.0,5.0
11,Beijing,Mainland China,1/31/2020 23:59,139,1.0,5.0
12,Shanghai,Mainland China,1/31/2020 23:59,135,1.0,9.0
13,Fujian,Mainland China,1/31/2020 23:59,120,0.0,0.0
14,Guangxi,Mainland China,1/31/2020 23:59,87,0.0,2.0
15,Shaanxi,Mainland China,1/31/2020 23:59,87,0.0,0.0
16,Yunnan,Mainland China,1/31/2020 23:59,83,0.0,1.0
17,Hebei,Mainland China,1/31/2020 23:59,82,1.0,0.0
18,Heilongjiang,Mainland China,1/31/2020 23:59,59,2.0,0.0
19,Hainan,Mainland China,1/31/2020 23:59,52,1.0,1.0
20,Liaoning,Mainland China,1/31/2020 23:59,48,0.0,1.0
21,Shanxi,Mainland China,1/31/2020 23:59,39,0.0,1.0
22,Tianjin,Mainland China,1/31/2020 23:59,32,0.0,0.0
23,Guizhou,Mainland China,1/31/2020 23:59,29,0.0,2.0
24,Gansu,Mainland China,1/31/2020 23:59,29,0.0,0.0
25,Ningxia,Mainland China,1/31/2020 23:59,21,0.0,0.0
26,Inner Mongolia,Mainland China,1/31/2020 23:59,20,0.0,1.0
27,Xinjiang,Mainland China,1/31/2020 23:59,17,0.0,0.0
28,Jilin,Mainland China,1/31/2020 23:59,14,0.0,1.0
29,Hong Kong,Hong Kong,1/31/2020 23:59,12,0.0,0.0
30,Taiwan,Taiwan,1/31/2020 23:59,10,0.0,0.0
31,Qinghai,Mainland China,1/31/2020 23:59,8,0.0,0.0
32,Macau,Macau,1/31/2020 23:59,7,0.0,0.0
33,Tibet,Mainland China,1/31/2020 23:59,1,0.0,0.0
34,0,Thailand,1/31/2020 23:59,19,0.0,5.0
35,0,Japan,1/31/2020 23:59,15,0.0,1.0
36,0,Singapore,1/31/2020 23:59,13,0.0,0.0
37,0,South Korea,1/31/2020 23:59,11,0.0,0.0
38,0,Malaysia,1/31/2020 23:59,8,0.0,0.0
39,0,France,1/31/2020 23:59,5,0.0,0.0
40,Bavaria,Germany,1/31/2020 23:59,5,0.0,0.0
41,New South Wales,Australia,1/31/2020 23:59,4,0.0,2.0
42,0,United Arab Emirates,1/31/2020 23:59,4,0.0,0.0
43,Victoria,Australia,1/31/2020 23:59,3,0.0,0.0
44,Illinois,US,1/31/2020 23:59,2,0.0,0.0
45,California,US,1/31/2020 23:59,2,0.0,0.0
46,0,Vietnam,1/31/2020 23:59,2,0.0,0.0
47,Ontario,Canada,1/31/2020 23:59,2,0.0,0.0
48,Queensland,Australia,1/31/2020 23:59,2,0.0,0.0
49,0,Italy,1/31/2020 23:59,2,0.0,0.0
50,0,UK,1/31/2020 23:59,2,0.0,0.0
51,0,Russia,1/31/2020 23:59,2,0.0,0.0
52,Washington,US,1/31/2020 23:59,1,0.0,0.0
53,Arizona,US,1/31/2020 23:59,1,0.0,0.0
54,0,Nepal,1/31/2020 23:59,1,0.0,0.0
55,British Columbia,Canada,1/31/2020 23:59,1,0.0,0.0
56,0,Cambodia,1/31/2020 23:59,1,0.0,0.0
57,0,Sri Lanka,1/31/2020 23:59,1,0.0,0.0
58,0,Finland,1/31/2020 23:59,1,0.0,0.0
59,0,Philippines,1/31/2020 23:59,1,0.0,0.0
60,0,India,1/31/2020 23:59,1,0.0,0.0
61,0,Sweden,1/31/2020 23:59,1,0.0,0.0
